title T3s C3s A3s G3s CAI CBI Fop Nc GC3s GC L_sym L_aa Gravy Aromo 
NM_018374.3 0.4311 0.2044 0.4171 0.2210 0.113 0.019 0.432 46.43 0.323 0.383 266 274 -0.234307 0.098540 
NM_005751.4 0.4320 0.1592 0.4949 0.2440 0.121 0.034 0.433 47.07 0.298 0.380 3802 3907 -0.852444 0.040952 
NM_005735.3 0.1767 0.4667 0.1573 0.4697 0.070 -0.014 0.387 43.42 0.729 0.579 362 376 -0.244149 0.095745 
NM_007106.3 0.4086 0.1828 0.4186 0.2500 0.076 -0.086 0.342 54.22 0.333 0.416 111 117 -0.331624 0.068376 
NM_032302.3 0.1354 0.4062 0.1165 0.5455 0.050 -0.166 0.305 44.30 0.788 0.593 118 122 0.477049 0.040984 
NM_016827.2 0.2848 0.4177 0.1678 0.3521 0.069 0.018 0.382 45.15 0.624 0.588 186 195 -0.289231 0.092308 
NM_003707.2 0.2529 0.3912 0.2279 0.4174 0.093 0.028 0.429 51.36 0.614 0.513 443 456 -0.250658 0.043860 
NM_017724.2 0.3455 0.2000 0.4281 0.3041 0.093 -0.005 0.385 53.68 0.390 0.448 390 400 -0.980000 0.027500 
NM_018106.3 0.3142 0.3716 0.1991 0.3721 0.114 0.088 0.450 55.20 0.578 0.486 329 344 0.480523 0.142442 
NM_032350.5 0.1278 0.3609 0.1775 0.5536 0.041 -0.107 0.282 41.01 0.750 0.625 188 194 -0.953093 0.041237 
NM_007373.3 0.3826 0.2500 0.3739 0.2494 0.105 0.046 0.409 52.26 0.389 0.407 570 582 -0.335395 0.037801 
NM_003901.3 0.3169 0.3506 0.2807 0.3162 0.120 0.070 0.443 56.19 0.518 0.477 539 568 -0.112148 0.109155 
NM_017548.4 0.2910 0.3016 0.3411 0.3081 0.089 0.041 0.404 54.52 0.488 0.541 250 258 -1.085271 0.046512 
NM_014159.6 0.4336 0.1910 0.4195 0.2398 0.118 0.021 0.413 50.54 0.330 0.427 2506 2564 -0.948167 0.059282 
NM_013319.2 0.1848 0.5215 0.1107 0.3724 0.078 0.072 0.416 41.61 0.744 0.578 332 338 0.527514 0.106509 
NM_174908.3 0.3959 0.2640 0.3833 0.3261 0.138 0.098 0.465 56.23 0.428 0.465 297 306 -1.273856 0.055556 
NM_032213.4 0.2825 0.4095 0.2131 0.3462 0.105 0.124 0.461 49.76 0.597 0.529 382 391 -0.231202 0.089514 
NM_003477.2 0.3713 0.2327 0.3723 0.2266 0.091 0.000 0.386 57.24 0.372 0.478 487 501 -0.217166 0.049900 
NM_005927.4 0.4242 0.3030 0.3146 0.2107 0.135 0.048 0.436 55.02 0.402 0.446 351 362 -0.146409 0.082873 
NM_002752.4 0.4000 0.2615 0.3814 0.2465 0.129 0.021 0.426 54.42 0.384 0.432 404 424 -0.306368 0.082547 
NM_003584.2 0.4224 0.2838 0.3383 0.2362 0.111 0.022 0.400 54.13 0.400 0.457 365 377 -0.852785 0.106101 
NM_000754.3 0.1009 0.4908 0.1019 0.5759 0.061 -0.004 0.381 36.81 0.835 0.619 260 271 0.159779 0.070111 
NM_016598.2 0.2077 0.4962 0.2444 0.3382 0.103 0.044 0.436 50.11 0.645 0.519 307 327 0.126605 0.122324 
NM_004504.4 0.4189 0.2463 0.3699 0.1717 0.100 0.003 0.386 55.81 0.346 0.475 552 562 -0.342705 0.092527 
NM_005644.3 0.2881 0.3305 0.3333 0.3140 0.086 -0.078 0.351 61.00 0.500 0.491 154 161 -0.567081 0.043478 
NM_152409.3 0.3684 0.3224 0.3624 0.1586 0.116 0.069 0.418 54.11 0.396 0.491 182 188 -0.818085 0.053191 
NM_003198.2 0.2740 0.3579 0.2920 0.3597 0.091 0.001 0.388 55.47 0.555 0.514 778 798 -1.067419 0.051378 
NM_003557.2 0.3453 0.3430 0.2571 0.3003 0.108 0.060 0.428 57.06 0.508 0.488 533 549 -0.374135 0.092896 
NM_016221.3 0.3618 0.3248 0.2955 0.3063 0.097 0.012 0.403 56.50 0.483 0.488 447 460 -0.494348 0.069565 
NM_138436.3 0.3976 0.2892 0.3377 0.2609 0.169 0.192 0.525 56.67 0.416 0.414 101 107 -0.402804 0.121495 
NM_018129.3 0.2929 0.4091 0.1856 0.3789 0.069 -0.025 0.360 53.83 0.619 0.570 247 261 -0.653640 0.114943 
NM_001007561.2 0.1777 0.3270 0.1767 0.4442 0.033 -0.102 0.247 44.00 0.685 0.691 607 623 0.014446 0.035313 
NM_007265.2 0.3768 0.2465 0.4083 0.2601 0.107 0.010 0.406 53.71 0.384 0.442 623 644 -0.473913 0.083851 
NM_173802.3 0.4093 0.2605 0.2760 0.2793 0.095 0.085 0.425 50.97 0.429 0.477 247 262 -0.154198 0.099237 
NM_181785.3 0.4949 0.1939 0.3393 0.1839 0.126 0.077 0.446 51.98 0.298 0.388 439 461 0.666594 0.156182 
NM_002004.3 0.2477 0.4025 0.1821 0.4589 0.074 -0.003 0.387 45.91 0.658 0.551 401 419 -0.237470 0.116945 
NM_024301.4 0.0862 0.5408 0.0687 0.4767 0.033 -0.153 0.244 33.01 0.867 0.706 480 495 -0.048081 0.092929 
NM_004343.3 0.2690 0.5034 0.1701 0.4758 0.114 -0.020 0.416 45.83 0.683 0.533 401 417 -1.104316 0.103118 
NM_014910.4 0.3848 0.2724 0.3702 0.2589 0.121 0.047 0.434 53.65 0.405 0.441 927 953 -0.624239 0.040923 
NM_016263.3 0.1100 0.5400 0.0836 0.4959 0.059 -0.006 0.376 36.27 0.840 0.629 474 493 -0.511765 0.068966 
NM_024710.2 0.1264 0.5220 0.0984 0.4489 0.051 -0.026 0.340 40.57 0.809 0.644 215 221 0.144344 0.049774 
NM_138442.3 0.0878 0.5270 0.1022 0.5792 0.048 -0.121 0.301 40.26 0.852 0.646 216 223 -1.263229 0.031390 
NM_014929.3 0.4215 0.2257 0.3772 0.2619 0.124 0.028 0.419 50.63 0.368 0.394 677 710 -0.048028 0.085915 
NM_017602.3 0.2544 0.3991 0.1784 0.3881 0.062 -0.076 0.322 49.68 0.641 0.617 549 571 -0.640981 0.056042 
NM_000244.3 0.1561 0.5175 0.1232 0.4349 0.061 -0.045 0.344 41.17 0.770 0.630 596 615 -0.355772 0.082927 
NM_017739.3 0.2197 0.4470 0.1853 0.4026 0.079 -0.007 0.382 46.50 0.672 0.569 631 660 -0.397727 0.100000 
NM_001136498.1 0.1165 0.5146 0.1176 0.4545 0.067 0.075 0.410 35.21 0.803 0.656 122 127 -0.479528 0.078740 
NM_020960.4 0.3274 0.3744 0.2578 0.2989 0.115 0.058 0.435 56.04 0.525 0.472 533 552 0.078804 0.114130 
NM_002893.3 0.4729 0.2440 0.3456 0.2283 0.126 -0.004 0.411 55.16 0.356 0.441 404 425 -0.527765 0.084706 
NM_016238.2 0.3226 0.2968 0.3113 0.3364 0.082 -0.027 0.366 55.73 0.492 0.480 573 599 -0.262270 0.066778 
NM_005745.7 0.2938 0.3898 0.1122 0.5080 0.090 0.055 0.424 49.53 0.689 0.524 238 246 -0.157317 0.077236 
NM_001026.4 0.3474 0.3158 0.3398 0.2959 0.132 0.098 0.465 57.52 0.465 0.444 127 133 -0.994737 0.075188 
NM_020474.3 0.4041 0.2329 0.4181 0.2335 0.109 -0.025 0.392 51.44 0.353 0.419 530 559 -0.354562 0.093023 
NM_021253.3 0.2695 0.3854 0.2296 0.3984 0.082 0.009 0.397 51.95 0.605 0.535 506 518 -0.517954 0.077220 
NM_021824.3 0.3741 0.2972 0.2642 0.3024 0.103 0.105 0.454 54.96 0.475 0.476 337 350 -0.207429 0.054286 
NM_006978.2 0.2980 0.4314 0.2283 0.3776 0.090 -0.027 0.391 51.21 0.600 0.540 335 343 -0.999125 0.081633 
NM_001350.4 0.2723 0.4014 0.2310 0.3505 0.086 0.008 0.381 50.38 0.595 0.558 730 740 -0.847838 0.035135 
NM_031208.3 0.1329 0.5029 0.1379 0.4813 0.072 0.053 0.427 43.41 0.777 0.586 211 224 -0.106697 0.080357 
NM_004757.3 0.4654 0.1336 0.3962 0.2954 0.110 0.054 0.446 48.02 0.327 0.417 303 312 -0.516346 0.025641 
NM_005870.4 0.2500 0.3561 0.2868 0.3516 0.090 0.074 0.433 54.75 0.561 0.521 164 172 -0.752907 0.069767 
NM_032355.3 0.1791 0.4683 0.1344 0.4235 0.047 -0.055 0.322 45.08 0.737 0.629 630 652 -0.417331 0.076687 
NM_003824.3 0.0958 0.4731 0.1481 0.5127 0.045 -0.041 0.335 40.17 0.800 0.625 200 208 -0.375962 0.043269 
NM_032121.5 0.4094 0.2483 0.3232 0.2428 0.106 0.069 0.429 54.85 0.391 0.449 340 367 0.074114 0.111717 
NM_024811.3 0.3363 0.3318 0.2451 0.2791 0.078 -0.019 0.352 54.51 0.506 0.554 506 514 -0.751362 0.056420 
NM_031434.3 0.1132 0.4953 0.1512 0.3950 0.046 -0.050 0.310 40.51 0.770 0.659 239 246 0.063821 0.060976 
NM_014223.4 0.2895 0.4035 0.2281 0.3846 0.069 -0.122 0.353 57.21 0.594 0.541 323 335 -0.513433 0.053731 
NM_001142623.1 0.2051 0.3462 0.1588 0.4545 0.041 -0.082 0.281 46.50 0.686 0.641 459 474 -0.083544 0.056962 
NM_018256.3 0.4098 0.2294 0.3730 0.2500 0.118 -0.009 0.403 52.93 0.370 0.432 397 423 -0.386052 0.082742 
NM_001142641.1 0.0902 0.5445 0.0765 0.4534 0.033 -0.130 0.246 36.49 0.856 0.732 1030 1045 -0.697033 0.047847 
NM_023947.3 0.1795 0.4936 0.1058 0.4718 0.071 -0.030 0.365 41.62 0.768 0.593 375 393 -0.254962 0.104326 
NM_006595.3 0.3816 0.2237 0.4015 0.2804 0.100 -0.030 0.378 56.62 0.384 0.418 497 504 -0.342460 0.075397 
NM_182755.2 0.3386 0.3181 0.3483 0.2614 0.104 0.043 0.415 52.19 0.451 0.476 802 828 -0.653744 0.048309 
NM_024056.3 0.2810 0.3667 0.2251 0.3736 0.098 0.068 0.451 54.16 0.582 0.496 244 250 0.100400 0.088000 
NM_016488.6 0.3800 0.2229 0.3950 0.2621 0.103 0.051 0.415 55.22 0.381 0.467 446 458 -1.299345 0.076419 
NM_005439.2 0.2602 0.4133 0.1525 0.4072 0.052 -0.062 0.330 49.41 0.656 0.594 227 248 -0.884677 0.080645 
NM_001143681.1 0.1727 0.4245 0.1761 0.4621 0.059 -0.038 0.349 46.67 0.710 0.577 169 183 -0.102186 0.076503 
NM_001143909.1 0.3600 0.2971 0.2883 0.3158 0.112 0.064 0.433 61.00 0.476 0.488 210 228 -0.194298 0.061404 
NM_018081.2 0.2765 0.4204 0.1775 0.3499 0.076 0.008 0.375 50.53 0.625 0.588 530 548 -0.499088 0.082117 
NM_013342.3 0.1910 0.3266 0.2083 0.4787 0.043 -0.107 0.281 47.10 0.667 0.630 249 253 -0.963241 0.051383 
NM_001144831.1 0.1853 0.4526 0.1833 0.4304 0.070 -0.041 0.358 43.39 0.696 0.566 293 299 -0.257525 0.063545 
NM_016451.4 0.4584 0.2051 0.3788 0.2291 0.136 0.072 0.447 50.13 0.330 0.402 921 953 -0.091186 0.057712 
NM_177967.3 0.2612 0.3592 0.2809 0.3198 0.075 0.044 0.398 56.00 0.550 0.518 289 309 -0.051780 0.103560 
NM_021645.5 0.3176 0.2761 0.3374 0.3645 0.094 0.006 0.401 52.99 0.491 0.479 746 766 -0.920496 0.037859 
NM_002786.3 0.5263 0.1627 0.3636 0.2065 0.161 0.129 0.469 46.83 0.283 0.428 254 263 -0.433080 0.068441 
NM_003156.3 0.2734 0.4023 0.1607 0.4458 0.076 -0.045 0.361 46.75 0.658 0.556 657 685 -0.674307 0.051095 
NM_002077.3 0.2727 0.2975 0.3220 0.4106 0.083 -0.004 0.392 54.09 0.539 0.492 740 767 -0.847979 0.032595 
NM_032478.3 0.1705 0.5016 0.1241 0.4615 0.061 -0.008 0.366 42.82 0.762 0.628 366 380 -0.696316 0.126316 
NM_006395.2 0.3576 0.3090 0.2777 0.3035 0.112 0.069 0.425 56.20 0.484 0.486 676 703 -0.071124 0.095306 
NM_033546.3 0.3465 0.3780 0.2982 0.3524 0.136 -0.051 0.393 45.90 0.521 0.457 163 172 -0.777907 0.098837 
NM_020234.5 0.4714 0.2070 0.5045 0.1658 0.139 0.012 0.435 48.05 0.268 0.348 299 304 -0.597040 0.101974 
NM_006196.3 0.2457 0.4567 0.1399 0.3822 0.087 0.036 0.420 50.21 0.673 0.570 343 356 -0.106461 0.028090 
NM_001293.2 0.3880 0.2350 0.3966 0.2722 0.098 -0.067 0.354 60.48 0.389 0.475 229 237 -0.656118 0.080169 
NM_001145078.1 0.3333 0.3810 0.2923 0.3425 0.104 0.016 0.424 53.47 0.529 0.482 484 494 -0.818421 0.085020 
NM_031304.4 0.0875 0.5167 0.0451 0.5805 0.034 -0.198 0.229 32.50 0.891 0.715 293 302 -0.182450 0.052980 
NM_014017.3 0.1782 0.5149 0.1474 0.3846 0.080 0.019 0.387 45.19 0.731 0.584 119 125 0.083200 0.072000 
NM_002635.3 0.3793 0.3103 0.2464 0.2895 0.098 0.074 0.423 57.77 0.484 0.501 345 361 0.030471 0.121884 
NM_024327.2 0.2015 0.5672 0.1181 0.3934 0.095 0.044 0.416 43.90 0.747 0.625 166 170 -0.678824 0.064706 
NM_033408.3 0.1883 0.5325 0.1631 0.3162 0.059 0.001 0.356 41.66 0.706 0.587 177 189 0.246561 0.121693 
NM_012432.3 0.3471 0.3649 0.2574 0.2995 0.107 0.042 0.421 53.97 0.518 0.510 1250 1290 -0.632558 0.076744 
NM_033557.3 0.1481 0.4979 0.0909 0.4619 0.063 -0.000 0.367 40.69 0.794 0.614 267 283 0.446997 0.123675 
NM_198243.2 0.3120 0.3308 0.3506 0.2676 0.097 0.043 0.408 58.64 0.469 0.479 309 318 -0.345598 0.066038 
NM_001001655.2 0.2311 0.3538 0.2549 0.3980 0.079 0.022 0.390 55.49 0.602 0.550 254 261 -0.570881 0.084291 
NM_020706.2 0.4275 0.1975 0.3637 0.2322 0.101 0.075 0.422 49.18 0.347 0.500 1112 1147 -0.862511 0.050567 
NM_053052.3 0.1944 0.4056 0.2116 0.4056 0.070 0.050 0.405 47.68 0.659 0.570 440 464 -0.452586 0.056034 
NM_012201.5 0.2822 0.3634 0.2688 0.4167 0.085 -0.019 0.390 55.24 0.577 0.508 1156 1203 -0.482544 0.054863 
NM_017895.7 0.2394 0.3873 0.2377 0.4297 0.082 -0.017 0.383 52.50 0.625 0.534 773 796 -0.675251 0.050251 
NM_001145769.1 0.2806 0.3612 0.2611 0.3750 0.089 0.007 0.388 52.40 0.572 0.532 879 903 -0.898893 0.067553 
NM_001145783.1 0.1154 0.6154 0.0588 0.5122 0.065 -0.131 0.317 31.96 0.865 0.621 104 109 -0.578899 0.073394 
NM_015560.2 0.4573 0.1966 0.4071 0.2423 0.120 0.028 0.423 52.08 0.329 0.403 922 960 -0.583646 0.080208 
NM_005500.2 0.3459 0.3158 0.2406 0.3889 0.083 -0.057 0.367 56.10 0.538 0.502 338 346 -0.296532 0.075145 
NM_080604.2 0.2308 0.4476 0.1554 0.3946 0.063 -0.041 0.333 44.02 0.684 0.615 538 547 -0.816088 0.036563 
NM_030794.2 0.4518 0.1566 0.4930 0.1747 0.109 0.025 0.408 46.88 0.255 0.405 632 651 -1.009370 0.069124 
NM_001077701.2 0.5189 0.1459 0.5364 0.1465 0.144 0.024 0.427 45.32 0.213 0.388 497 512 -1.151367 0.072266 
NM_002093.3 0.3470 0.2459 0.3675 0.2788 0.093 0.010 0.397 54.25 0.415 0.470 426 433 -0.330254 0.090069 
NM_001146160.1 0.4667 0.1179 0.5429 0.2050 0.106 -0.083 0.360 41.30 0.231 0.361 242 250 -0.337200 0.084000 
NM_032370.2 0.1245 0.5245 0.1648 0.3488 0.044 -0.066 0.295 43.11 0.751 0.687 305 312 -0.552244 0.051282 
NM_032937.4 0.2645 0.3677 0.2448 0.2908 0.066 -0.011 0.339 61.00 0.563 0.602 174 176 -0.519886 0.045455 
NM_022771.4 0.4195 0.2050 0.4720 0.2009 0.131 0.059 0.437 46.89 0.305 0.393 655 691 -0.409262 0.094067 
NM_001146106.1 0.3958 0.2510 0.3486 0.3103 0.107 0.012 0.423 52.57 0.417 0.429 678 710 -0.198451 0.073239 
NM_022830.2 0.2530 0.3580 0.2051 0.3770 0.053 -0.034 0.329 52.46 0.614 0.606 887 912 -0.320724 0.055921 
NM_004187.3 0.2441 0.3931 0.1690 0.4529 0.064 -0.044 0.346 47.07 0.668 0.584 1504 1560 -0.492692 0.064103 
NM_014966.3 0.1727 0.4539 0.1478 0.4622 0.061 -0.033 0.356 42.16 0.735 0.596 1124 1155 -0.288571 0.058874 
NM_032547.2 0.3908 0.2299 0.4839 0.2045 0.136 0.106 0.470 42.78 0.325 0.388 117 122 -0.781148 0.032787 
NM_000365.5 0.2798 0.3990 0.1500 0.4324 0.089 -0.011 0.398 49.92 0.651 0.566 241 249 -0.118072 0.068273 
NM_005389.2 0.2876 0.2833 0.3620 0.2802 0.063 -0.088 0.325 60.82 0.458 0.503 271 285 -0.001754 0.059649 
NM_000858.5 0.1474 0.4744 0.0688 0.5667 0.052 -0.126 0.311 35.32 0.824 0.619 193 197 -0.387310 0.055838 
NM_006372.4 0.5156 0.1684 0.4038 0.1982 0.124 0.041 0.415 49.05 0.280 0.434 607 623 -0.880899 0.101124 
NM_138369.2 0.2368 0.3882 0.2119 0.3776 0.062 -0.029 0.354 50.69 0.624 0.600 181 185 -0.482162 0.037838 
NM_138793.3 0.1169 0.5754 0.0997 0.4504 0.077 0.036 0.411 36.99 0.822 0.622 382 401 -0.339401 0.107232 
NM_006824.2 0.3237 0.2802 0.2724 0.4239 0.069 -0.066 0.342 58.35 0.546 0.512 295 306 -1.150000 0.058824 
NM_031485.3 0.1580 0.4971 0.1329 0.4491 0.056 -0.064 0.337 40.76 0.762 0.643 424 446 -0.465023 0.071749 
NM_001033002.3 0.3086 0.3086 0.2281 0.4375 0.076 0.028 0.407 50.76 0.574 0.514 209 219 -0.357078 0.054795 
NM_031472.3 0.2262 0.4226 0.1707 0.3961 0.058 -0.006 0.359 45.60 0.667 0.590 198 204 -0.236765 0.063725 
NM_145029.3 0.2597 0.4221 0.1504 0.3906 0.070 -0.010 0.349 50.12 0.657 0.560 175 181 -0.271271 0.121547 
NM_005782.3 0.2232 0.4420 0.1801 0.3333 0.051 -0.071 0.294 48.33 0.655 0.639 255 264 -0.804924 0.045455 
NM_024520.2 0.2692 0.3675 0.2664 0.3380 0.073 -0.047 0.350 58.52 0.562 0.517 283 291 -0.056014 0.103093 
NM_023007.2 0.1373 0.5363 0.1148 0.4455 0.068 0.043 0.401 42.29 0.794 0.628 441 463 -0.256155 0.118790 
NM_018844.3 0.4556 0.2012 0.4415 0.2069 0.144 0.053 0.435 43.51 0.304 0.369 230 241 -0.357676 0.095436 
NM_002719.3 0.3368 0.2982 0.3734 0.3155 0.102 -0.045 0.378 56.92 0.454 0.435 502 524 -0.337977 0.101145 
NM_199203.2 0.1886 0.4579 0.2862 0.3252 0.067 -0.007 0.390 48.01 0.619 0.547 349 370 -0.125135 0.102703 
NM_005198.4 0.1881 0.4422 0.1900 0.4464 0.065 -0.011 0.369 50.23 0.698 0.573 377 395 -0.396456 0.113924 
NM_019610.5 0.3989 0.1938 0.4818 0.0903 0.092 0.039 0.365 51.18 0.250 0.482 384 390 -1.291282 0.089744 
NM_001039618.2 0.1568 0.4077 0.1351 0.4898 0.037 -0.078 0.289 43.13 0.754 0.659 346 354 -0.659040 0.028249 
NM_001034841.3 0.1489 0.4574 0.1088 0.4434 0.042 -0.047 0.297 41.92 0.775 0.675 525 535 0.051589 0.071028 
NM_018379.4 0.2833 0.3444 0.2264 0.4129 0.061 -0.077 0.337 49.96 0.593 0.561 457 469 -0.490192 0.057569 
NM_005243.3 0.3537 0.3278 0.2979 0.2140 0.074 0.027 0.375 51.69 0.454 0.570 632 656 -1.116921 0.091463 
NM_001163380.1 0.2836 0.3881 0.3101 0.2982 0.106 0.019 0.421 48.29 0.524 0.486 164 170 -0.542353 0.070588 
NM_025230.4 0.2725 0.4414 0.2219 0.3245 0.090 0.006 0.390 49.45 0.602 0.554 528 546 -0.639927 0.095238 
NM_015726.3 0.3157 0.3538 0.2449 0.3645 0.079 -0.062 0.355 49.94 0.557 0.535 580 597 -0.856616 0.065327 
NM_144604.3 0.2185 0.3838 0.2119 0.4275 0.063 -0.046 0.340 50.20 0.652 0.605 940 953 -1.588773 0.038825 
NM_001163315.2 0.2265 0.4547 0.1866 0.3595 0.065 -0.049 0.339 52.52 0.658 0.592 682 701 -0.277603 0.051355 
NM_152348.3 0.1396 0.5420 0.0795 0.4456 0.054 -0.060 0.337 37.23 0.815 0.644 872 890 -0.185506 0.060674 
NM_018312.4 0.3618 0.2730 0.3930 0.2690 0.105 0.001 0.408 54.29 0.409 0.443 763 793 -0.514502 0.060530 
NM_014393.2 0.4492 0.1864 0.4083 0.2174 0.090 -0.031 0.374 52.13 0.315 0.427 463 479 -0.661378 0.064718 
NM_006107.3 0.3467 0.2067 0.4972 0.2355 0.120 0.080 0.430 53.14 0.338 0.431 423 432 -1.698611 0.032407 
NM_018285.3 0.1267 0.5267 0.0360 0.5507 0.044 -0.048 0.335 36.32 0.866 0.652 179 184 -0.451631 0.086957 
NM_173471.3 0.4110 0.1992 0.2752 0.2927 0.098 0.053 0.405 49.48 0.405 0.487 264 274 0.339051 0.116788 
NM_020536.4 0.3443 0.2967 0.3033 0.3168 0.102 0.050 0.420 54.91 0.479 0.484 752 782 -0.553581 0.090793 
NM_199290.3 0.3444 0.2384 0.4011 0.2599 0.123 0.112 0.478 57.75 0.392 0.468 209 215 -0.487442 0.032558 
NM_001165946.1 0.3681 0.3304 0.3563 0.2739 0.135 0.102 0.467 54.25 0.445 0.432 443 464 -0.290302 0.109914 
NM_001017980.3 0.3373 0.2892 0.2632 0.3333 0.071 -0.117 0.312 56.03 0.500 0.488  96 101 0.204950 0.138614 
NM_001127.3 0.1480 0.5267 0.1208 0.4708 0.074 -0.030 0.377 39.59 0.782 0.583 918 949 -0.050896 0.063224 
NM_001983.3 0.1561 0.4599 0.1867 0.4353 0.054 -0.116 0.305 45.07 0.719 0.596 292 297 -0.267340 0.067340 
NM_001166104.1 0.3736 0.3062 0.3180 0.2403 0.107 0.038 0.418 55.24 0.436 0.463 839 867 -0.400346 0.077278 
NM_006702.4 0.1328 0.4977 0.1126 0.4649 0.052 -0.048 0.341 40.56 0.793 0.637 1283 1327 -0.205426 0.064808 
NM_025136.3 0.0985 0.4773 0.0940 0.5704 0.037 -0.114 0.292 32.62 0.842 0.665 171 179 -0.200559 0.067039 
NM_004553.4 0.2136 0.3592 0.1957 0.5172 0.052 -0.122 0.320 48.09 0.672 0.578 122 124 -0.394355 0.072581 
NM_017861.3 0.3333 0.2824 0.2798 0.3657 0.095 0.001 0.394 58.37 0.498 0.483 251 258 0.227132 0.081395 
NM_017815.2 0.2903 0.3266 0.2345 0.4571 0.066 -0.048 0.361 55.03 0.599 0.504 349 363 -0.460330 0.063361 
NM_152912.4 0.4010 0.2030 0.4110 0.2970 0.104 0.030 0.428 50.27 0.372 0.410 269 278 -0.741367 0.043165 
NM_032862.4 0.0775 0.5520 0.0637 0.4828 0.033 -0.132 0.249 32.92 0.879 0.728 619 642 -0.402337 0.073209 
NM_013444.3 0.2878 0.3551 0.2374 0.3229 0.061 -0.061 0.338 55.00 0.556 0.545 592 624 -0.348558 0.035256 
NM_021210.4 0.2288 0.4661 0.1275 0.4433 0.078 0.049 0.420 41.08 0.710 0.545 138 145 -0.175862 0.131034 
NM_138362.3 0.4045 0.3034 0.3690 0.2179 0.097 -0.054 0.369 53.04 0.396 0.435 111 115 -1.146087 0.078261 
NM_003190.4 0.2053 0.4213 0.1711 0.3550 0.048 -0.041 0.309 51.14 0.672 0.642 430 448 -0.024554 0.071429 
NM_000249.3 0.3695 0.3000 0.2843 0.3204 0.097 -0.004 0.400 53.22 0.476 0.465 737 756 -0.353439 0.071429 
NM_025160.6 0.3488 0.2690 0.3427 0.2818 0.079 -0.051 0.351 58.27 0.437 0.489 636 661 -0.365356 0.063540 
NM_007156.4 0.2299 0.4478 0.1597 0.3758 0.062 -0.045 0.338 47.35 0.676 0.603 784 799 -0.373717 0.060075 
NM_018035.2 0.2020 0.4926 0.1217 0.4556 0.064 -0.027 0.358 47.02 0.740 0.595 246 257 -0.367315 0.093385 
NM_145203.5 0.3031 0.4016 0.2996 0.3139 0.119 0.081 0.453 55.19 0.537 0.461 320 337 -0.579822 0.109792 
NM_017830.3 0.4526 0.1789 0.4734 0.1609 0.115 0.037 0.422 44.26 0.262 0.400 237 245 -0.757959 0.085714 
NM_003309.3 0.2284 0.3951 0.2028 0.4349 0.068 0.011 0.389 52.28 0.652 0.581 422 437 -0.650114 0.064073 
NM_022838.3 0.4053 0.2422 0.3496 0.2743 0.118 0.017 0.423 50.91 0.396 0.428 541 558 -0.402150 0.066308 
NM_138575.3 0.1262 0.4720 0.1133 0.5213 0.058 -0.001 0.369 42.57 0.799 0.647 249 255 -0.297647 0.070588 
NM_020920.3 0.3543 0.2926 0.3229 0.3153 0.108 0.045 0.420 55.41 0.466 0.485 2216 2302 -0.730756 0.065161 
NM_022737.2 0.1442 0.5266 0.1037 0.3692 0.062 -0.012 0.352 41.19 0.781 0.654 338 343 0.257434 0.102041 
NM_016085.4 0.3776 0.3566 0.2269 0.3028 0.118 0.136 0.479 51.73 0.509 0.499 165 171 -0.092398 0.064327 
NM_032440.3 0.3595 0.2779 0.3652 0.2232 0.090 0.034 0.395 57.09 0.404 0.477 418 433 -0.848037 0.043880 
NM_032889.4 0.2594 0.4081 0.1808 0.3252 0.066 -0.011 0.351 51.54 0.619 0.562 433 450 0.656444 0.128889 
NM_001170569.1 0.3565 0.3130 0.2721 0.4062 0.107 0.021 0.428 49.68 0.530 0.478 166 173 -0.923699 0.069364 
NM_015990.4 0.4475 0.1705 0.4022 0.2224 0.100 -0.022 0.371 48.59 0.310 0.431 714 755 -0.261722 0.084768 
NM_000274.3 0.4199 0.2514 0.3204 0.2476 0.124 0.095 0.451 53.26 0.392 0.452 426 439 -0.089977 0.091116 
NM_021203.3 0.2928 0.3153 0.2207 0.3868 0.075 -0.013 0.365 56.83 0.571 0.515 266 271 -0.020664 0.066421 
NM_138701.3 0.2549 0.3464 0.2817 0.2979 0.058 0.044 0.379 55.86 0.546 0.596 174 179 -1.196089 0.117318 
NM_001172574.1 0.4298 0.2181 0.3991 0.2421 0.108 -0.023 0.388 50.41 0.351 0.416 593 610 -0.780328 0.055738 
NM_012233.2 0.4339 0.1976 0.3845 0.2646 0.113 0.043 0.421 50.99 0.353 0.440 947 981 -0.440673 0.078491 
NM_006560.3 0.3501 0.3475 0.2399 0.3023 0.083 0.021 0.394 55.41 0.519 0.509 459 482 -0.244399 0.062241 
NM_032584.2 0.4716 0.2492 0.3943 0.2354 0.116 -0.052 0.388 44.83 0.353 0.412 825 839 -0.883790 0.084625 
NM_033410.3 0.1268 0.5546 0.0994 0.4416 0.051 -0.063 0.319 37.74 0.814 0.691 398 408 -0.796324 0.078431 
NM_016302.3 0.4199 0.2236 0.4246 0.2357 0.101 -0.050 0.380 52.80 0.342 0.422 421 442 -0.393665 0.081448 
NM_005726.5 0.2944 0.2903 0.2434 0.3985 0.060 -0.028 0.354 55.66 0.561 0.535 314 325 -0.250154 0.064615 
NM_001173533.1 0.1944 0.5093 0.1175 0.4157 0.070 -0.001 0.374 42.34 0.743 0.623 495 509 -0.413556 0.098232 
NM_005653.4 0.3848 0.2539 0.3404 0.3295 0.098 -0.026 0.394 52.17 0.433 0.450 487 502 -0.555578 0.085657 
