Gene_description Len_aa Len_sym GC GC3s GCn3s GC1 GC2 GC3 T1 T2 T3 C1 C2 C3 A1 A2 A3 G1 G2 G3
NM_004922.3 1094 1068 0.544 0.547 0.543 0.611 0.464 0.558 0.171 0.263 0.273 0.300 0.281 0.284 0.218 0.272 0.169 0.311 0.184 0.273
NM_016558.3 179 176 0.708 0.750 0.687 0.754 0.615 0.754 0.101 0.196 0.151 0.369 0.408 0.346 0.145 0.190 0.095 0.385 0.207 0.408
NM_207111.3 923 899 0.491 0.502 0.486 0.580 0.379 0.515 0.177 0.228 0.248 0.272 0.213 0.259 0.244 0.393 0.237 0.308 0.166 0.256
NM_174893.3 172 168 0.570 0.607 0.552 0.605 0.488 0.616 0.110 0.227 0.227 0.209 0.349 0.285 0.285 0.285 0.157 0.395 0.140 0.331
NM_001004333.4 137 129 0.569 0.690 0.514 0.540 0.460 0.708 0.248 0.343 0.175 0.277 0.234 0.423 0.212 0.197 0.117 0.263 0.226 0.285
NM_015600.4 404 389 0.549 0.614 0.518 0.574 0.443 0.629 0.196 0.275 0.210 0.255 0.228 0.337 0.230 0.282 0.161 0.319 0.215 0.292
NM_004206.3 250 236 0.499 0.521 0.488 0.524 0.424 0.548 0.252 0.332 0.284 0.224 0.240 0.288 0.224 0.244 0.168 0.300 0.184 0.260
NM_001202403.1 392 384 0.613 0.799 0.523 0.656 0.380 0.804 0.138 0.309 0.133 0.329 0.202 0.446 0.207 0.311 0.064 0.327 0.179 0.357
NM_006066.3 325 313 0.545 0.604 0.517 0.618 0.397 0.618 0.151 0.274 0.262 0.280 0.231 0.265 0.231 0.329 0.120 0.338 0.166 0.354
NM_001123.3 345 335 0.416 0.367 0.440 0.510 0.354 0.386 0.171 0.284 0.342 0.168 0.229 0.188 0.319 0.362 0.272 0.342 0.125 0.197
NM_002574.3 199 194 0.461 0.469 0.457 0.523 0.377 0.482 0.191 0.291 0.332 0.191 0.216 0.276 0.286 0.332 0.186 0.332 0.161 0.206
NM_001040436.2 477 464 0.526 0.552 0.513 0.600 0.413 0.564 0.174 0.302 0.226 0.279 0.208 0.256 0.226 0.285 0.210 0.321 0.205 0.308
NM_006624.5 602 570 0.465 0.495 0.451 0.505 0.367 0.522 0.171 0.216 0.246 0.219 0.169 0.233 0.324 0.417 0.233 0.286 0.198 0.289
NM_003341.4 193 186 0.458 0.473 0.450 0.404 0.477 0.492 0.202 0.218 0.285 0.171 0.295 0.306 0.394 0.306 0.223 0.233 0.181 0.187
NM_001202485.1 261 252 0.386 0.246 0.452 0.513 0.372 0.272 0.203 0.272 0.383 0.195 0.203 0.111 0.284 0.356 0.345 0.318 0.169 0.161
NM_003344.3 183 175 0.455 0.451 0.457 0.536 0.355 0.475 0.186 0.262 0.268 0.197 0.230 0.224 0.279 0.383 0.257 0.339 0.126 0.251
NM_001202558.1 391 376 0.545 0.612 0.513 0.598 0.409 0.627 0.189 0.284 0.194 0.274 0.197 0.335 0.212 0.307 0.179 0.325 0.212 0.292
NM_053046.3 407 394 0.643 0.706 0.613 0.673 0.541 0.715 0.133 0.204 0.167 0.292 0.258 0.369 0.194 0.256 0.118 0.381 0.283 0.346
NM_024747.5 775 750 0.656 0.684 0.643 0.748 0.525 0.694 0.119 0.276 0.151 0.381 0.275 0.297 0.133 0.199 0.155 0.368 0.250 0.397
NM_001203260.1 134 131 0.542 0.557 0.535 0.597 0.463 0.567 0.216 0.299 0.291 0.291 0.254 0.299 0.187 0.239 0.142 0.306 0.209 0.269
NM_001204062.1 469 455 0.429 0.385 0.450 0.478 0.405 0.403 0.188 0.254 0.318 0.205 0.235 0.207 0.335 0.341 0.279 0.273 0.171 0.196
NM_145165.3 140 133 0.450 0.459 0.446 0.471 0.393 0.486 0.243 0.279 0.314 0.193 0.179 0.243 0.286 0.329 0.200 0.279 0.214 0.243
NM_001202547.2 191 185 0.485 0.503 0.477 0.586 0.351 0.518 0.115 0.277 0.262 0.230 0.162 0.241 0.298 0.372 0.220 0.356 0.188 0.277
NM_004788.3 1073 1031 0.455 0.493 0.437 0.528 0.324 0.513 0.187 0.323 0.268 0.254 0.199 0.269 0.284 0.352 0.219 0.274 0.125 0.243
NM_001204180.1 292 282 0.433 0.447 0.426 0.462 0.370 0.466 0.223 0.281 0.274 0.212 0.226 0.175 0.315 0.349 0.260 0.250 0.144 0.291
NM_003135.2 144 139 0.435 0.353 0.474 0.514 0.417 0.375 0.139 0.222 0.271 0.194 0.208 0.167 0.347 0.361 0.354 0.319 0.208 0.208
NM_080678.2 185 180 0.443 0.400 0.464 0.524 0.389 0.416 0.189 0.259 0.324 0.200 0.227 0.184 0.286 0.351 0.259 0.324 0.162 0.232
NM_006247.3 499 481 0.562 0.759 0.469 0.571 0.349 0.768 0.154 0.263 0.126 0.236 0.184 0.433 0.275 0.389 0.106 0.335 0.164 0.335
NM_015436.3 261 252 0.415 0.341 0.450 0.494 0.387 0.364 0.249 0.218 0.368 0.218 0.142 0.169 0.257 0.395 0.268 0.276 0.245 0.195
NM_001167.3 497 479 0.402 0.294 0.454 0.475 0.412 0.320 0.215 0.239 0.372 0.177 0.205 0.145 0.310 0.348 0.308 0.298 0.207 0.175
NM_000123.3 1186 1158 0.453 0.403 0.477 0.549 0.392 0.417 0.155 0.234 0.275 0.206 0.227 0.174 0.296 0.374 0.308 0.343 0.165 0.244
NM_001204425.1 1640 1600 0.438 0.372 0.469 0.516 0.409 0.388 0.178 0.222 0.298 0.204 0.235 0.173 0.305 0.370 0.314 0.313 0.173 0.215
NM_004748.4 757 739 0.386 0.322 0.416 0.469 0.350 0.338 0.194 0.227 0.343 0.170 0.190 0.132 0.337 0.423 0.318 0.299 0.160 0.206
NM_007276.4 183 174 0.386 0.253 0.448 0.508 0.361 0.290 0.164 0.213 0.322 0.120 0.197 0.098 0.328 0.426 0.388 0.388 0.164 0.191
NM_001201459.1 479 469 0.649 0.661 0.643 0.664 0.614 0.668 0.163 0.146 0.205 0.347 0.267 0.382 0.173 0.240 0.127 0.317 0.347 0.286
NM_001204848.1 195 189 0.544 0.481 0.573 0.626 0.508 0.497 0.128 0.185 0.256 0.328 0.292 0.267 0.246 0.308 0.246 0.297 0.215 0.231
NM_024041.3 230 222 0.535 0.486 0.558 0.617 0.483 0.504 0.126 0.200 0.248 0.309 0.265 0.265 0.257 0.317 0.248 0.309 0.217 0.239
NM_005648.3 112 107 0.423 0.374 0.445 0.482 0.384 0.402 0.214 0.286 0.304 0.134 0.241 0.196 0.304 0.330 0.295 0.348 0.143 0.205
NM_001204890.1 331 321 0.506 0.464 0.525 0.616 0.420 0.480 0.121 0.208 0.221 0.218 0.215 0.172 0.263 0.372 0.299 0.399 0.205 0.308
NM_001079559.2 747 729 0.557 0.606 0.534 0.655 0.402 0.616 0.153 0.189 0.202 0.240 0.191 0.253 0.193 0.410 0.182 0.415 0.210 0.363
NM_014741.4 480 465 0.491 0.499 0.487 0.529 0.429 0.515 0.185 0.275 0.292 0.210 0.275 0.265 0.285 0.296 0.194 0.319 0.154 0.250
NM_015415.3 127 117 0.480 0.393 0.519 0.528 0.472 0.441 0.213 0.307 0.291 0.213 0.276 0.181 0.260 0.220 0.268 0.315 0.197 0.260
NM_001206491.1 399 392 0.626 0.661 0.609 0.612 0.599 0.667 0.148 0.198 0.173 0.266 0.398 0.368 0.241 0.203 0.160 0.346 0.201 0.298
NM_015972.3 133 127 0.451 0.449 0.452 0.519 0.361 0.474 0.143 0.256 0.256 0.195 0.203 0.203 0.338 0.383 0.271 0.323 0.158 0.271
NM_133476.4 516 502 0.568 0.631 0.537 0.579 0.483 0.641 0.178 0.178 0.182 0.316 0.331 0.337 0.242 0.339 0.176 0.264 0.151 0.304
NM_001012985.2 125 118 0.477 0.441 0.494 0.472 0.488 0.472 0.280 0.208 0.216 0.184 0.240 0.248 0.248 0.304 0.312 0.288 0.248 0.224
NM_001206682.1 117 115 0.447 0.443 0.449 0.504 0.385 0.453 0.179 0.299 0.256 0.171 0.205 0.222 0.316 0.316 0.291 0.333 0.179 0.231
NM_014050.3 142 136 0.399 0.272 0.459 0.521 0.373 0.303 0.183 0.239 0.380 0.261 0.225 0.134 0.296 0.387 0.317 0.261 0.148 0.169
NM_002733.4 331 324 0.465 0.540 0.429 0.520 0.326 0.550 0.193 0.344 0.275 0.211 0.224 0.275 0.287 0.329 0.175 0.308 0.103 0.275
NM_016143.4 370 364 0.553 0.596 0.532 0.619 0.438 0.603 0.119 0.232 0.195 0.214 0.232 0.303 0.262 0.330 0.203 0.405 0.205 0.300
NM_138704.3 304 295 0.601 0.756 0.527 0.612 0.428 0.763 0.132 0.234 0.125 0.273 0.224 0.398 0.257 0.339 0.112 0.339 0.204 0.365
NM_002757.3 438 417 0.454 0.415 0.472 0.546 0.372 0.443 0.174 0.315 0.279 0.224 0.201 0.167 0.281 0.313 0.279 0.322 0.171 0.276
NM_006388.3 513 501 0.564 0.729 0.485 0.548 0.409 0.735 0.175 0.251 0.150 0.279 0.214 0.394 0.277 0.339 0.115 0.269 0.195 0.341
NM_006024.6 789 767 0.398 0.310 0.441 0.548 0.318 0.330 0.160 0.236 0.326 0.214 0.194 0.136 0.293 0.446 0.345 0.333 0.124 0.194
NM_002710.3 323 313 0.422 0.387 0.439 0.511 0.350 0.406 0.207 0.307 0.319 0.214 0.161 0.186 0.282 0.344 0.276 0.297 0.189 0.220
NM_031372.3 420 412 0.505 0.459 0.527 0.569 0.476 0.469 0.174 0.169 0.279 0.229 0.226 0.252 0.257 0.355 0.252 0.340 0.250 0.217
NM_014771.3 1001 980 0.599 0.724 0.538 0.678 0.388 0.730 0.093 0.228 0.136 0.315 0.202 0.286 0.229 0.385 0.134 0.364 0.186 0.445
NM_014670.3 353 338 0.401 0.340 0.430 0.535 0.300 0.368 0.161 0.300 0.337 0.184 0.176 0.139 0.303 0.399 0.295 0.351 0.125 0.229
NM_033318.4 107 103 0.567 0.602 0.550 0.598 0.486 0.617 0.178 0.336 0.243 0.206 0.252 0.364 0.224 0.178 0.140 0.393 0.234 0.252
NM_152652.2 618 610 0.620 0.634 0.613 0.668 0.552 0.639 0.131 0.160 0.204 0.358 0.257 0.341 0.201 0.288 0.157 0.311 0.294 0.298
NM_001031713.3 359 348 0.554 0.612 0.527 0.593 0.446 0.624 0.164 0.287 0.156 0.265 0.245 0.334 0.242 0.267 0.220 0.329 0.201 0.290
NM_001973.3 431 420 0.469 0.452 0.477 0.490 0.450 0.466 0.193 0.265 0.290 0.260 0.329 0.246 0.318 0.285 0.244 0.230 0.121 0.220
NM_001242393.1 606 579 0.534 0.598 0.504 0.566 0.419 0.616 0.180 0.277 0.231 0.221 0.223 0.325 0.254 0.304 0.153 0.345 0.196 0.290
NM_144574.3 569 553 0.511 0.552 0.492 0.529 0.441 0.564 0.172 0.258 0.232 0.223 0.220 0.316 0.299 0.301 0.204 0.306 0.221 0.248
NM_181504.3 454 437 0.401 0.382 0.410 0.485 0.313 0.405 0.185 0.233 0.273 0.185 0.159 0.200 0.330 0.454 0.322 0.300 0.154 0.205
NM_032325.3 165 161 0.531 0.646 0.476 0.600 0.339 0.655 0.133 0.236 0.164 0.230 0.188 0.273 0.267 0.424 0.182 0.370 0.152 0.382
NM_015037.3 1842 1779 0.601 0.626 0.589 0.640 0.524 0.638 0.154 0.220 0.206 0.293 0.296 0.320 0.206 0.256 0.156 0.347 0.228 0.319
NM_020679.3 256 246 0.560 0.703 0.492 0.598 0.367 0.715 0.176 0.293 0.172 0.277 0.164 0.332 0.227 0.340 0.113 0.320 0.203 0.383
NM_016100.4 178 170 0.459 0.429 0.473 0.545 0.376 0.455 0.202 0.298 0.292 0.180 0.219 0.230 0.253 0.326 0.253 0.365 0.157 0.225
NM_004834.4 1165 1130 0.491 0.488 0.493 0.567 0.403 0.504 0.153 0.239 0.248 0.240 0.206 0.199 0.280 0.359 0.248 0.327 0.197 0.305
NM_033386.3 863 846 0.636 0.736 0.587 0.649 0.517 0.742 0.119 0.184 0.140 0.322 0.309 0.374 0.232 0.299 0.118 0.327 0.207 0.367
NM_018993.3 895 863 0.559 0.689 0.498 0.556 0.421 0.701 0.155 0.265 0.154 0.269 0.240 0.363 0.288 0.314 0.145 0.287 0.181 0.337
NM_004902.3 524 507 0.436 0.304 0.499 0.510 0.471 0.326 0.147 0.235 0.330 0.187 0.221 0.139 0.344 0.294 0.344 0.323 0.250 0.187
NM_139126.3 492 482 0.392 0.338 0.418 0.498 0.325 0.352 0.161 0.228 0.311 0.163 0.152 0.161 0.341 0.447 0.337 0.335 0.173 0.191
NM_006221.3 163 156 0.632 0.853 0.529 0.546 0.491 0.859 0.160 0.196 0.074 0.239 0.209 0.429 0.294 0.313 0.067 0.307 0.282 0.429
NM_015911.3 284 280 0.562 0.643 0.523 0.556 0.482 0.648 0.169 0.137 0.194 0.292 0.201 0.345 0.275 0.380 0.158 0.264 0.282 0.303
NM_017702.3 197 191 0.602 0.764 0.525 0.660 0.376 0.772 0.122 0.244 0.152 0.350 0.178 0.345 0.218 0.381 0.076 0.310 0.198 0.426
NM_012241.4 310 301 0.543 0.518 0.555 0.600 0.497 0.532 0.161 0.248 0.265 0.248 0.265 0.271 0.239 0.255 0.203 0.352 0.232 0.261
NM_012305.3 939 919 0.563 0.726 0.484 0.569 0.389 0.732 0.154 0.309 0.153 0.253 0.235 0.387 0.277 0.302 0.115 0.315 0.153 0.345
NM_007152.4 557 545 0.406 0.411 0.403 0.422 0.372 0.424 0.237 0.199 0.294 0.187 0.174 0.253 0.341 0.429 0.282 0.235 0.197 0.171
NM_030963.3 358 350 0.456 0.294 0.535 0.559 0.500 0.310 0.179 0.201 0.349 0.190 0.271 0.151 0.263 0.299 0.341 0.369 0.229 0.159
NM_012402.3 341 333 0.552 0.637 0.512 0.625 0.387 0.645 0.120 0.255 0.191 0.282 0.208 0.287 0.255 0.358 0.164 0.343 0.179 0.358
NM_018210.3 390 382 0.590 0.602 0.584 0.682 0.477 0.610 0.121 0.282 0.197 0.305 0.254 0.333 0.197 0.241 0.192 0.377 0.223 0.277
NM_021188.2 478 468 0.482 0.438 0.503 0.561 0.435 0.450 0.192 0.245 0.305 0.251 0.245 0.197 0.247 0.320 0.245 0.310 0.190 0.253
NM_014678.4 932 905 0.601 0.719 0.545 0.620 0.456 0.727 0.126 0.251 0.156 0.249 0.260 0.362 0.254 0.293 0.117 0.371 0.196 0.366
NM_023075.5 396 378 0.509 0.556 0.488 0.548 0.404 0.576 0.210 0.318 0.242 0.240 0.192 0.283 0.242 0.278 0.182 0.308 0.212 0.293
NM_022075.4 380 357 0.520 0.655 0.458 0.518 0.366 0.676 0.224 0.339 0.192 0.255 0.192 0.400 0.258 0.295 0.132 0.263 0.174 0.276
NM_004759.4 370 352 0.566 0.733 0.488 0.549 0.403 0.746 0.159 0.265 0.135 0.295 0.249 0.384 0.292 0.332 0.119 0.254 0.154 0.362
NM_182476.2 468 445 0.536 0.551 0.530 0.571 0.466 0.573 0.179 0.282 0.271 0.209 0.267 0.306 0.250 0.252 0.156 0.361 0.199 0.267
NM_007108.3 118 115 0.607 0.765 0.531 0.627 0.424 0.771 0.119 0.263 0.110 0.280 0.254 0.398 0.254 0.314 0.119 0.347 0.169 0.373
NM_016628.4 647 632 0.441 0.310 0.504 0.496 0.501 0.326 0.185 0.176 0.343 0.260 0.346 0.155 0.318 0.323 0.331 0.236 0.155 0.172
NM_016620.3 105 100 0.422 0.310 0.474 0.495 0.429 0.343 0.210 0.305 0.286 0.229 0.248 0.162 0.295 0.267 0.371 0.267 0.181 0.181
NM_012416.3 1105 1057 0.408 0.319 0.450 0.547 0.329 0.348 0.184 0.324 0.363 0.211 0.200 0.126 0.270 0.347 0.289 0.336 0.129 0.223
NM_001039476.2 390 376 0.604 0.779 0.521 0.621 0.405 0.787 0.149 0.318 0.144 0.344 0.249 0.449 0.231 0.277 0.069 0.277 0.156 0.338
NM_015517.4 517 500 0.547 0.642 0.502 0.590 0.398 0.654 0.205 0.219 0.205 0.304 0.178 0.346 0.205 0.383 0.141 0.286 0.221 0.308
NM_016118.4 625 609 0.457 0.460 0.455 0.541 0.355 0.474 0.160 0.246 0.210 0.213 0.189 0.216 0.299 0.398 0.317 0.328 0.166 0.258
NM_001243399.1 124 120 0.371 0.325 0.393 0.435 0.331 0.347 0.210 0.290 0.355 0.169 0.202 0.137 0.355 0.379 0.298 0.266 0.129 0.210
NM_001829.3 818 776 0.436 0.361 0.471 0.490 0.424 0.394 0.207 0.324 0.330 0.160 0.222 0.207 0.303 0.252 0.276 0.330 0.202 0.187
NM_001243650.1 112 107 0.598 0.692 0.555 0.643 0.446 0.705 0.089 0.339 0.196 0.312 0.250 0.295 0.268 0.214 0.098 0.330 0.196 0.411
NM_003409.4 449 436 0.460 0.472 0.453 0.519 0.372 0.488 0.169 0.229 0.285 0.187 0.203 0.220 0.312 0.399 0.227 0.332 0.169 0.267
NM_024033.3 157 151 0.577 0.609 0.562 0.586 0.522 0.624 0.121 0.204 0.185 0.210 0.318 0.255 0.293 0.274 0.191 0.376 0.204 0.369
NM_016022.3 247 238 0.552 0.630 0.515 0.575 0.437 0.644 0.243 0.413 0.247 0.219 0.239 0.356 0.182 0.150 0.109 0.356 0.198 0.287
NM_001243777.1 474 460 0.408 0.365 0.428 0.492 0.348 0.384 0.165 0.232 0.268 0.217 0.209 0.137 0.344 0.420 0.348 0.274 0.139 0.247
NM_014311.2 270 260 0.607 0.658 0.584 0.722 0.430 0.670 0.137 0.315 0.193 0.381 0.207 0.274 0.141 0.256 0.137 0.341 0.222 0.396
NM_003288.3 206 201 0.557 0.632 0.520 0.583 0.447 0.641 0.131 0.223 0.233 0.199 0.277 0.282 0.286 0.330 0.126 0.383 0.170 0.359
NM_007367.3 290 288 0.598 0.667 0.564 0.631 0.493 0.669 0.100 0.207 0.190 0.224 0.248 0.362 0.269 0.300 0.141 0.407 0.245 0.307
NM_003164.4 355 345 0.543 0.687 0.474 0.555 0.377 0.696 0.146 0.307 0.183 0.270 0.237 0.375 0.299 0.315 0.121 0.285 0.141 0.321
NM_004697.4 522 500 0.494 0.486 0.498 0.536 0.439 0.508 0.192 0.239 0.284 0.201 0.228 0.253 0.272 0.322 0.209 0.335 0.211 0.255
NM_003626.3 1202 1158 0.499 0.493 0.502 0.582 0.403 0.512 0.130 0.241 0.215 0.249 0.214 0.237 0.289 0.355 0.273 0.333 0.190 0.275
NM_006458.3 744 733 0.604 0.698 0.558 0.661 0.448 0.703 0.129 0.261 0.165 0.289 0.218 0.372 0.210 0.292 0.132 0.372 0.230 0.331
NM_003689.3 359 343 0.640 0.793 0.568 0.643 0.474 0.802 0.162 0.242 0.123 0.281 0.262 0.429 0.195 0.284 0.075 0.362 0.212 0.373
NM_005778.3 815 791 0.498 0.494 0.499 0.550 0.434 0.509 0.173 0.183 0.276 0.210 0.231 0.252 0.277 0.383 0.215 0.340 0.204 0.258
NM_014820.4 608 587 0.455 0.397 0.483 0.567 0.380 0.418 0.155 0.230 0.280 0.201 0.222 0.201 0.278 0.390 0.303 0.367 0.158 0.217
NM_032632.4 745 725 0.409 0.313 0.456 0.491 0.405 0.332 0.170 0.279 0.318 0.208 0.264 0.150 0.338 0.315 0.350 0.283 0.141 0.181
NM_004583.3 216 209 0.560 0.646 0.519 0.583 0.440 0.657 0.116 0.236 0.153 0.213 0.250 0.356 0.301 0.324 0.190 0.370 0.190 0.301
NM_004783.3 1049 1017 0.619 0.751 0.556 0.677 0.422 0.759 0.113 0.222 0.133 0.358 0.233 0.324 0.210 0.356 0.109 0.318 0.190 0.435
NM_015356.4 1630 1606 0.674 0.791 0.618 0.737 0.493 0.794 0.088 0.237 0.128 0.344 0.277 0.363 0.175 0.271 0.078 0.393 0.216 0.431
NM_012321.4 139 131 0.621 0.802 0.538 0.604 0.446 0.813 0.101 0.237 0.086 0.259 0.129 0.403 0.295 0.317 0.101 0.345 0.317 0.410
NM_015510.4 325 315 0.556 0.657 0.508 0.560 0.440 0.668 0.145 0.317 0.197 0.200 0.268 0.378 0.295 0.243 0.135 0.360 0.172 0.289
NM_017528.4 281 270 0.552 0.619 0.520 0.573 0.448 0.633 0.181 0.256 0.224 0.249 0.206 0.278 0.246 0.295 0.142 0.324 0.242 0.356
NM_006058.4 636 615 0.588 0.702 0.533 0.654 0.396 0.712 0.108 0.211 0.124 0.324 0.244 0.275 0.237 0.393 0.164 0.330 0.153 0.437
NM_003796.3 535 526 0.439 0.363 0.475 0.551 0.391 0.374 0.148 0.221 0.336 0.179 0.239 0.179 0.301 0.389 0.290 0.372 0.151 0.194
NM_004182.3 157 153 0.520 0.647 0.459 0.599 0.306 0.656 0.146 0.331 0.185 0.293 0.166 0.293 0.255 0.363 0.159 0.306 0.140 0.363
NM_001198798.2 357 345 0.440 0.449 0.435 0.529 0.322 0.468 0.174 0.297 0.289 0.207 0.154 0.221 0.297 0.381 0.244 0.322 0.168 0.246
NM_001252678.1 347 333 0.490 0.532 0.470 0.545 0.375 0.550 0.176 0.277 0.222 0.225 0.259 0.262 0.280 0.349 0.228 0.320 0.115 0.288
NM_005206.4 204 198 0.578 0.677 0.531 0.583 0.466 0.686 0.186 0.240 0.162 0.240 0.225 0.304 0.230 0.294 0.152 0.343 0.240 0.382
NM_004393.5 895 866 0.582 0.652 0.548 0.590 0.492 0.664 0.118 0.253 0.199 0.277 0.335 0.359 0.292 0.256 0.137 0.313 0.156 0.305
NM_006923.3 211 202 0.542 0.564 0.531 0.588 0.455 0.583 0.166 0.251 0.237 0.232 0.194 0.275 0.246 0.294 0.180 0.355 0.261 0.308
NM_001035235.3 236 225 0.582 0.578 0.584 0.640 0.508 0.597 0.136 0.212 0.182 0.271 0.305 0.250 0.225 0.280 0.220 0.369 0.203 0.347
NM_198318.4 353 336 0.579 0.872 0.443 0.518 0.340 0.878 0.190 0.300 0.074 0.173 0.195 0.510 0.292 0.360 0.048 0.346 0.144 0.368
NM_014263.3 716 695 0.408 0.295 0.462 0.525 0.384 0.316 0.169 0.297 0.356 0.207 0.230 0.142 0.306 0.318 0.328 0.318 0.154 0.173
NM_025076.4 420 402 0.504 0.592 0.463 0.550 0.352 0.610 0.138 0.302 0.160 0.224 0.179 0.321 0.312 0.345 0.231 0.326 0.174 0.288
NM_032015.4 433 418 0.608 0.727 0.552 0.642 0.446 0.737 0.162 0.358 0.152 0.326 0.217 0.363 0.196 0.196 0.111 0.316 0.229 0.374
NM_006294.4 111 104 0.414 0.394 0.424 0.505 0.306 0.432 0.171 0.234 0.261 0.171 0.135 0.135 0.324 0.459 0.306 0.333 0.171 0.297
NM_199077.2 552 529 0.622 0.851 0.515 0.585 0.424 0.857 0.138 0.317 0.072 0.252 0.216 0.464 0.277 0.259 0.071 0.333 0.208 0.393
NM_001254755.1 152 146 0.586 0.658 0.552 0.559 0.526 0.671 0.171 0.204 0.151 0.270 0.257 0.329 0.270 0.270 0.178 0.289 0.270 0.342
NM_015700.3 230 222 0.413 0.324 0.455 0.530 0.361 0.348 0.174 0.309 0.296 0.209 0.239 0.161 0.296 0.330 0.357 0.322 0.122 0.187
NM_019056.6 163 154 0.599 0.682 0.561 0.607 0.491 0.699 0.190 0.245 0.166 0.233 0.270 0.374 0.202 0.264 0.135 0.374 0.221 0.325
NM_006219.2 1070 1023 0.410 0.360 0.433 0.511 0.331 0.388 0.200 0.322 0.335 0.217 0.179 0.176 0.289 0.347 0.278 0.294 0.151 0.212
NM_001834.3 211 204 0.621 0.755 0.557 0.645 0.455 0.763 0.123 0.161 0.133 0.218 0.270 0.318 0.232 0.384 0.104 0.427 0.185 0.445
NM_004998.3 1108 1070 0.487 0.579 0.444 0.519 0.349 0.593 0.158 0.273 0.203 0.224 0.168 0.302 0.323 0.378 0.204 0.295 0.181 0.291
NM_019026.4 239 228 0.476 0.469 0.479 0.498 0.435 0.494 0.184 0.314 0.276 0.230 0.213 0.230 0.318 0.251 0.230 0.268 0.222 0.264
NM_001256167.1 308 302 0.437 0.440 0.436 0.455 0.406 0.451 0.208 0.192 0.282 0.224 0.162 0.224 0.338 0.403 0.266 0.231 0.244 0.227
NM_182919.3 712 690 0.639 0.725 0.598 0.656 0.528 0.733 0.154 0.216 0.132 0.360 0.347 0.399 0.190 0.256 0.135 0.296 0.181 0.334
NM_001256197.1 186 181 0.573 0.691 0.517 0.597 0.425 0.699 0.177 0.280 0.188 0.285 0.220 0.414 0.226 0.296 0.113 0.312 0.204 0.285
NM_138361.5 723 697 0.565 0.727 0.488 0.617 0.342 0.737 0.129 0.282 0.124 0.351 0.178 0.300 0.254 0.376 0.138 0.266 0.163 0.437
NM_003347.3 154 149 0.461 0.497 0.444 0.526 0.344 0.513 0.136 0.247 0.221 0.227 0.214 0.260 0.338 0.409 0.266 0.299 0.130 0.253
NM_024834.3 642 621 0.450 0.425 0.461 0.542 0.363 0.444 0.182 0.293 0.319 0.260 0.206 0.193 0.276 0.344 0.237 0.282 0.157 0.251
NM_006860.4 185 178 0.542 0.618 0.507 0.595 0.400 0.632 0.178 0.297 0.168 0.205 0.232 0.303 0.227 0.303 0.200 0.389 0.168 0.330
NM_014268.3 327 317 0.466 0.464 0.467 0.560 0.358 0.480 0.174 0.229 0.235 0.239 0.229 0.239 0.266 0.413 0.284 0.321 0.128 0.242
NM_021252.4 206 200 0.413 0.340 0.447 0.505 0.374 0.359 0.160 0.286 0.306 0.126 0.165 0.170 0.335 0.340 0.335 0.379 0.209 0.189
NM_052940.4 428 418 0.485 0.533 0.462 0.530 0.381 0.544 0.203 0.264 0.252 0.236 0.217 0.257 0.266 0.355 0.203 0.294 0.164 0.287
NM_001256425.1 271 263 0.487 0.452 0.504 0.509 0.483 0.469 0.240 0.229 0.273 0.192 0.255 0.273 0.251 0.288 0.258 0.317 0.229 0.196
NM_017871.5 600 571 0.604 0.848 0.491 0.595 0.363 0.855 0.140 0.313 0.075 0.273 0.193 0.453 0.265 0.323 0.070 0.322 0.170 0.402
NM_004487.4 3259 3188 0.414 0.388 0.427 0.567 0.275 0.402 0.125 0.247 0.257 0.241 0.164 0.132 0.308 0.478 0.342 0.326 0.111 0.269
NM_006659.3 902 868 0.578 0.787 0.480 0.580 0.360 0.795 0.142 0.308 0.116 0.271 0.212 0.408 0.278 0.331 0.089 0.309 0.149 0.387
NM_014672.3 583 559 0.420 0.377 0.439 0.492 0.364 0.403 0.206 0.286 0.326 0.228 0.185 0.175 0.302 0.350 0.271 0.264 0.178 0.228
NM_001256686.1 391 372 0.455 0.441 0.462 0.537 0.361 0.468 0.182 0.286 0.294 0.225 0.184 0.235 0.281 0.353 0.238 0.312 0.176 0.233
NM_014885.4 185 177 0.402 0.305 0.447 0.454 0.416 0.335 0.184 0.249 0.314 0.211 0.238 0.162 0.362 0.335 0.351 0.243 0.178 0.173
NM_017814.2 479 459 0.635 0.804 0.555 0.647 0.445 0.812 0.184 0.355 0.111 0.338 0.251 0.401 0.169 0.200 0.077 0.309 0.194 0.411
NM_025126.3 372 359 0.487 0.485 0.489 0.538 0.422 0.503 0.223 0.245 0.269 0.199 0.215 0.237 0.239 0.333 0.228 0.339 0.207 0.266
NM_015913.3 172 166 0.463 0.422 0.483 0.581 0.366 0.442 0.151 0.279 0.355 0.221 0.174 0.198 0.267 0.355 0.203 0.360 0.192 0.244
NM_006230.3 504 493 0.603 0.730 0.542 0.629 0.444 0.736 0.141 0.290 0.153 0.290 0.240 0.403 0.230 0.266 0.111 0.339 0.204 0.333
NM_144778.3 367 355 0.512 0.459 0.538 0.550 0.510 0.477 0.142 0.243 0.253 0.245 0.346 0.278 0.308 0.248 0.270 0.305 0.163 0.199
NM_024661.4 411 397 0.578 0.635 0.551 0.655 0.433 0.647 0.119 0.277 0.173 0.282 0.214 0.282 0.226 0.290 0.180 0.372 0.219 0.365
